id,prediction
ga-IE_0145,A
ga-IE_0146,A
ga-IE_0147,A
ga-IE_0148,A
ga-IE_0149,B
ga-IE_0150,B
ga-IE_0151,B
ga-IE_0152,B
ga-IE_0153,A
ga-IE_0154,A
ga-IE_0155,A
ga-IE_0156,A
ga-IE_0157,A
ga-IE_0158,A
ga-IE_0159,B
ga-IE_0160,B
ga-IE_0161,A
ga-IE_0162,A
ga-IE_0163,B
ga-IE_0164,A
ga-IE_0165,A
ga-IE_0166,A
ga-IE_0167,A
ga-IE_0168,C
ga-IE_0169,B
ga-IE_0170,B
ga-IE_0171,C
ga-IE_0172,B
ga-IE_0173,B
ga-IE_0174,B
ga-IE_0175,B
ga-IE_0176,B
ga-IE_0177,B
ga-IE_0178,C
ga-IE_0179,B
ga-IE_0180,B
ga-IE_0181,B
ga-IE_0182,B
ga-IE_0183,A
ga-IE_0184,B
ga-IE_0185,A
ga-IE_0186,A
ga-IE_0187,A
ga-IE_0188,A
ga-IE_0189,B
ga-IE_0190,A
ga-IE_0191,A
ga-IE_0192,A
ga-IE_0193,A
ga-IE_0194,B
ga-IE_0195,B
ga-IE_0196,B
ga-IE_0197,B
ga-IE_0198,A
ga-IE_0199,A
ga-IE_0200,A
ga-IE_0201,A
ga-IE_0202,A
ga-IE_0203,A
ga-IE_0204,C
ga-IE_0205,B
ga-IE_0206,B
ga-IE_0207,C
ga-IE_0208,B
ga-IE_0209,B
ga-IE_0210,B
ga-IE_0211,B
ga-IE_0212,B
ga-IE_0213,B
ga-IE_0214,C
ga-IE_0215,B
ga-IE_0216,B
ga-IE_0217,B
ga-IE_0218,B
ga-IE_0219,A
ga-IE_0220,B
ga-IE_0221,A
ga-IE_0222,A
ga-IE_0223,A
ga-IE_0224,A
ga-IE_0225,B
ga-IE_0226,A
ga-IE_0227,A
ga-IE_0228,A
ga-IE_0229,A
ga-IE_0230,B
ga-IE_0231,B
ga-IE_0232,B
ga-IE_0233,B
ga-IE_0234,A
ga-IE_0235,A
ga-IE_0236,A
ga-IE_0237,A
ga-IE_0238,A
ga-IE_0239,A
ga-IE_0240,C
ga-IE_0241,C
ga-IE_0242,D
ga-IE_0243,C
ga-IE_0244,C
ga-IE_0245,C
ga-IE_0246,C
ga-IE_0247,B
ga-IE_0248,C
ga-IE_0249,B
ga-IE_0250,B
ga-IE_0251,B
ga-IE_0252,B
ga-IE_0253,C
ga-IE_0254,B
ga-IE_0255,B
ga-IE_0256,B
ga-IE_0257,B
ga-IE_0258,C
ga-IE_0259,C
ga-IE_0260,C
ga-IE_0261,C
ga-IE_0262,B
ga-IE_0263,B
ga-IE_0264,B
ga-IE_0265,B
ga-IE_0266,B
ga-IE_0267,B
ga-IE_0268,B
ga-IE_0269,C
ga-IE_0270,B
ga-IE_0271,B
ga-IE_0272,B
ga-IE_0273,B
ga-IE_0274,C
ga-IE_0275,B
ga-IE_0276,B
ga-IE_0277,B
ga-IE_0278,B
ga-IE_0279,C
ga-IE_0280,C
ga-IE_0281,C
ga-IE_0282,C
ga-IE_0283,B
ga-IE_0284,B
ga-IE_0285,B
ga-IE_0286,B
ga-IE_0287,B
ga-IE_0288,B
ga-IE_0289,B
ga-IE_0290,A
ga-IE_0291,A
ga-IE_0292,A
ga-IE_0293,A
ga-IE_0294,B
ga-IE_0295,B
ga-IE_0296,B
ga-IE_0297,B
ga-IE_0298,A
ga-IE_0299,A
ga-IE_0300,A
ga-IE_0301,A
ga-IE_0302,A
ga-IE_0303,A
ga-IE_0304,B
ga-IE_0305,B
ga-IE_0306,B
ga-IE_0307,B
ga-IE_0308,A
ga-IE_0309,A
ga-IE_0310,A
ga-IE_0311,A
ga-IE_0312,A
ga-IE_0313,A
ga-IE_0314,B
ga-IE_0315,B
ga-IE_0316,B
ga-IE_0317,B
ga-IE_0318,B
ga-IE_0319,B
ga-IE_0320,A
ga-IE_0321,A
ga-IE_0322,A
ga-IE_0323,A
ga-IE_0324,D
ga-IE_0325,D
ga-IE_0326,C
ga-IE_0327,D
ga-IE_0328,C
ga-IE_0329,D
ga-IE_0330,D
ga-IE_0331,C
ga-IE_0332,D
ga-IE_0333,C
ga-IE_0334,D
ga-IE_0335,D
ga-IE_0336,C
ga-IE_0337,D
ga-IE_0338,C
ga-IE_0339,C
ga-IE_0340,B
ga-IE_0341,C
ga-IE_0342,D
ga-IE_0343,C
ga-IE_0344,D
ga-IE_0345,C
ga-IE_0346,D
ga-IE_0347,C
ga-IE_0348,C
ga-IE_0349,D
ga-IE_0350,D
ga-IE_0351,C
ga-IE_0352,D
ga-IE_0353,C
ga-IE_0354,C
ga-IE_0355,B
ga-IE_0356,C
ga-IE_0357,D
ga-IE_0358,C
ga-IE_0359,D
ga-IE_0360,C
ga-IE_0361,D
ga-IE_0362,C
ga-IE_0363,C
ga-IE_0364,C
ga-IE_0365,B
ga-IE_0366,C
ga-IE_0367,D
ga-IE_0368,C
ga-IE_0369,D
ga-IE_0370,C
ga-IE_0371,D
ga-IE_0372,C
ga-IE_0373,C
ga-IE_0374,B
ga-IE_0375,C
ga-IE_0376,B
ga-IE_0377,C
ga-IE_0378,B
ga-IE_0379,C
ga-IE_0380,D
ga-IE_0381,C
ga-IE_0382,C
ga-IE_0383,D
ga-IE_0384,D
ga-IE_0385,D
ga-IE_0386,A
ga-IE_0387,D
ga-IE_0388,B
ga-IE_0389,D
ga-IE_0390,D
ga-IE_0391,D
ga-IE_0392,D
ga-IE_0393,C
ga-IE_0394,A
ga-IE_0395,A
ga-IE_0396,A
ga-IE_0397,A
ga-IE_0398,A
ga-IE_0399,D
ga-IE_0400,D
ga-IE_0401,C
ga-IE_0402,D
ga-IE_0403,C
ga-IE_0404,C
ga-IE_0405,C
ga-IE_0406,D
ga-IE_0407,D
ga-IE_0408,D
ga-IE_0409,A
ga-IE_0410,A
ga-IE_0411,A
ga-IE_0412,A
ga-IE_0413,D
ga-IE_0414,D
ga-IE_0415,D
ga-IE_0416,B
ga-IE_0417,A
ga-IE_0418,B
ga-IE_0419,D
ga-IE_0420,D
ga-IE_0421,C
ga-IE_0422,D
ga-IE_0423,D
ga-IE_0424,C
ga-IE_0425,D
ga-IE_0426,C
ga-IE_0427,D
ga-IE_0428,C
ga-IE_0429,D
ga-IE_0430,C
ga-IE_0431,D
ga-IE_0432,C
ga-IE_0433,D
ga-IE_0434,C
ga-IE_0435,C
ga-IE_0436,D
ga-IE_0437,C
ga-IE_0438,C
ga-IE_0439,C
ga-IE_0440,C
ga-IE_0441,D
ga-IE_0442,D
ga-IE_0443,D
ga-IE_0444,D
ga-IE_0445,C
ga-IE_0446,C
ga-IE_0447,C
ga-IE_0448,C
ga-IE_0449,C
ga-IE_0450,B
ga-IE_0451,D
ga-IE_0452,D
ga-IE_0453,D
ga-IE_0454,C
ga-IE_0455,D
ga-IE_0456,D
ga-IE_0457,C
ga-IE_0458,D
ga-IE_0459,C
ga-IE_0460,C
ga-IE_0461,C
ga-IE_0462,C
ga-IE_0463,C
ga-IE_0464,C
ga-IE_0465,B
ga-IE_0466,D
ga-IE_0467,D
ga-IE_0468,D
ga-IE_0469,C
ga-IE_0470,D
ga-IE_0471,D
ga-IE_0472,C
ga-IE_0473,D
ga-IE_0474,C
ga-IE_0475,C
ga-IE_0476,C
ga-IE_0477,C
ga-IE_0478,C
ga-IE_0479,B
ga-IE_0480,C
ga-IE_0481,C
ga-IE_0482,B
ga-IE_0483,C
ga-IE_0484,B
ga-IE_0485,B
ga-IE_0486,D
ga-IE_0487,D
ga-IE_0488,C
ga-IE_0489,D
ga-IE_0490,C
ga-IE_0491,C
ga-IE_0492,D
ga-IE_0493,C
ga-IE_0494,C
ga-IE_0495,C
ga-IE_0496,A
ga-IE_0497,C
ga-IE_0498,A
ga-IE_0499,B
ga-IE_0500,A
ga-IE_0501,A
ga-IE_0502,A
ga-IE_0503,A
ga-IE_0504,C
ga-IE_0505,C
ga-IE_0506,C
ga-IE_0507,C
ga-IE_0508,D
ga-IE_0509,D
ga-IE_0510,C
ga-IE_0511,D
ga-IE_0512,D
ga-IE_0513,D
ga-IE_0514,C
ga-IE_0515,C
ga-IE_0516,C
ga-IE_0517,D
ga-IE_0518,A
ga-IE_0519,D
ga-IE_0520,C
ga-IE_0521,C
ga-IE_0522,C
ga-IE_0523,D
ga-IE_0524,D
ga-IE_0525,D
ga-IE_0526,C
ga-IE_0527,C
ga-IE_0528,C
ga-IE_0529,D
ga-IE_0530,B
ga-IE_0531,A
ga-IE_0532,A
ga-IE_0533,C
ga-IE_0534,B
ga-IE_0535,C
ga-IE_0536,B
ga-IE_0537,B
ga-IE_0538,D
ga-IE_0539,D
ga-IE_0540,D
ga-IE_0541,A
ga-IE_0542,D
ga-IE_0543,D
ga-IE_0544,D
ga-IE_0545,D
ga-IE_0546,D
ga-IE_0547,A
ga-IE_0548,D
ga-IE_0549,D
ga-IE_0550,D
ga-IE_0551,A
ga-IE_0552,B
ga-IE_0553,B
ga-IE_0554,A
ga-IE_0555,D
ga-IE_0556,C
ga-IE_0557,B
ga-IE_0558,D
ga-IE_0559,B
ga-IE_0560,D
ga-IE_0561,C
ga-IE_0562,D
ga-IE_0563,C
ga-IE_0564,D
ga-IE_0565,D
ga-IE_0566,D
ga-IE_0567,D
ga-IE_0568,D
ga-IE_0569,A
ga-IE_0570,B
ga-IE_0571,A
ga-IE_0572,C
ga-IE_0573,B
ga-IE_0574,B
ga-IE_0575,D
ga-IE_0576,C
ga-IE_0577,B
ga-IE_0578,C
ga-IE_0579,D
ga-IE_0580,C
ga-IE_0581,C
ga-IE_0582,C
ga-IE_0583,A
ga-IE_0584,C
ga-IE_0585,C
ga-IE_0586,D
ga-IE_0587,C
ga-IE_0588,B
ga-IE_0589,B
ga-IE_0590,B
ga-IE_0591,A
ga-IE_0592,B
ga-IE_0593,A
ga-IE_0594,A
ga-IE_0595,C
ga-IE_0596,A
ga-IE_0597,A
ga-IE_0598,A
ga-IE_0599,C
ga-IE_0600,A
ga-IE_0601,B
ga-IE_0602,B
ga-IE_0603,C
ga-IE_0604,A
ga-IE_0605,B
ga-IE_0606,C
ga-IE_0607,A
ga-IE_0608,B
ga-IE_0609,D
ga-IE_0610,D
ga-IE_0611,D
ga-IE_0612,D
ga-IE_0613,D
ga-IE_0614,D
ga-IE_0615,D
ga-IE_0616,D
ga-IE_0617,D
ga-IE_0618,D
ga-IE_0619,D
ga-IE_0620,D
ga-IE_0621,D
ga-IE_0622,D
ga-IE_0623,D
ga-IE_0624,D
ga-IE_0625,D
ga-IE_0626,D
ga-IE_0627,D
ga-IE_0628,D
ga-IE_0629,A
ga-IE_0630,D
ga-IE_0631,D
ga-IE_0632,D
ga-IE_0633,D
ga-IE_0634,A
ga-IE_0635,D
ga-IE_0636,D
ga-IE_0637,D
ga-IE_0638,D
ga-IE_0639,C
ga-IE_0640,D
ga-IE_0641,D
ga-IE_0642,D
ga-IE_0643,D
ga-IE_0644,B
ga-IE_0645,A
ga-IE_0646,C
ga-IE_0647,A
ga-IE_0648,A
ga-IE_0649,B
ga-IE_0650,D
ga-IE_0651,B
ga-IE_0652,B
ga-IE_0653,A
ga-IE_0654,A
ga-IE_0655,A
ga-IE_0656,A
ga-IE_0657,D
ga-IE_0658,D
ga-IE_0659,B
ga-IE_0660,B
ga-IE_0661,B
ga-IE_0662,B
ga-IE_0663,B
ga-IE_0664,A
ga-IE_0665,C
ga-IE_0666,B
ga-IE_0667,A
ga-IE_0668,A
ga-IE_0669,D
ga-IE_0670,A
ga-IE_0671,A
ga-IE_0672,C
ga-IE_0673,C
ga-IE_0674,C
ga-IE_0675,C
ga-IE_0676,A
ga-IE_0677,A
ga-IE_0678,D
ga-IE_0679,D
ga-IE_0680,D
ga-IE_0681,D
ga-IE_0682,D
ga-IE_0683,D
ga-IE_0684,D
ga-IE_0685,D
ga-IE_0686,A
ga-IE_0687,A
ga-IE_0688,C
ga-IE_0689,C
ga-IE_0690,C
ga-IE_0691,C
ga-IE_0692,C
ga-IE_0693,C
ga-IE_0694,C
ga-IE_0695,C
ga-IE_0696,A
ga-IE_0697,D
ga-IE_0698,A
ga-IE_0699,D
ga-IE_0700,A
ga-IE_0701,D
ga-IE_0702,D
ga-IE_0703,D
ga-IE_0704,D
ga-IE_0705,D
ga-IE_0706,A
ga-IE_0707,B
ga-IE_0708,A
ga-IE_0709,B
ga-IE_0710,A
ga-IE_0711,A
ga-IE_0712,D
ga-IE_0713,D
ga-IE_0714,C
ga-IE_0715,C
ga-IE_0716,D
ga-IE_0717,A
ga-IE_0718,A
ga-IE_0719,C
ga-IE_0720,C
ga-IE_0721,A
ga-IE_0722,B
ga-IE_0723,C
ga-IE_0724,B
ga-IE_0725,B
ga-IE_0726,B
ga-IE_0727,A
ga-IE_0728,A
ga-IE_0729,B
ga-IE_0730,B
ga-IE_0731,A
ga-IE_0732,D
ga-IE_0733,C
ga-IE_0734,C
ga-IE_0735,C
ga-IE_0736,C
ga-IE_0737,B
ga-IE_0738,C
ga-IE_0739,C
ga-IE_0740,A
ga-IE_0741,B
ga-IE_0742,D
ga-IE_0743,C
ga-IE_0744,C
ga-IE_0745,C
ga-IE_0746,C
ga-IE_0747,C
ga-IE_0748,C
ga-IE_0749,B
ga-IE_0750,B
ga-IE_0751,B
ga-IE_0752,C
ga-IE_0753,C
ga-IE_0754,C
ga-IE_0755,B
ga-IE_0756,B
ga-IE_0757,B
ga-IE_0758,B
ga-IE_0759,B
ga-IE_0760,B
ga-IE_0761,A
ga-IE_0762,A
ga-IE_0763,D
ga-IE_0764,C
ga-IE_0765,D
ga-IE_0766,D
ga-IE_0767,C
ga-IE_0768,C
ga-IE_0769,D
ga-IE_0770,D
ga-IE_0771,C
ga-IE_0772,C
ga-IE_0773,C
ga-IE_0774,B
ga-IE_0775,D
ga-IE_0776,C
ga-IE_0777,C
ga-IE_0778,C
ga-IE_0779,D
ga-IE_0780,D
ga-IE_0781,C
ga-IE_0782,C
ga-IE_0783,C
ga-IE_0784,B
ga-IE_0785,D
ga-IE_0786,C
ga-IE_0787,C
ga-IE_0788,C
ga-IE_0789,C
ga-IE_0790,B
ga-IE_0791,D
ga-IE_0792,C
ga-IE_0793,C
ga-IE_0794,C
ga-IE_0795,B
ga-IE_0796,B
ga-IE_0797,C
ga-IE_0798,B
ga-IE_0799,C
ga-IE_0800,B
ga-IE_0801,B
ga-IE_0802,B
ga-IE_0803,B
ga-IE_0804,C
ga-IE_0805,B
ga-IE_0806,B
ga-IE_0807,B
ga-IE_0808,B
ga-IE_0809,C
ga-IE_0810,C
ga-IE_0811,C
ga-IE_0812,C
ga-IE_0813,B
ga-IE_0814,B
ga-IE_0815,B
ga-IE_0816,B
ga-IE_0817,B
ga-IE_0818,B
ga-IE_0819,B
ga-IE_0820,A
ga-IE_0821,A
ga-IE_0822,A
ga-IE_0823,A
ga-IE_0824,B
ga-IE_0825,B
ga-IE_0826,B
ga-IE_0827,B
ga-IE_0828,A
ga-IE_0829,A
ga-IE_0830,A
ga-IE_0831,A
ga-IE_0832,A
ga-IE_0833,A
ga-IE_0834,B
ga-IE_0835,B
ga-IE_0836,B
ga-IE_0837,B
ga-IE_0838,A
ga-IE_0839,A
ga-IE_0840,A
ga-IE_0841,A
ga-IE_0842,A
ga-IE_0843,A
ga-IE_0844,B
ga-IE_0845,B
ga-IE_0846,B
ga-IE_0847,B
ga-IE_0848,B
ga-IE_0849,B
ga-IE_0850,A
ga-IE_0851,A
ga-IE_0852,A
ga-IE_0853,A
ga-IE_0854,C
ga-IE_0855,C
ga-IE_0856,C
ar-MA_0001,A
ar-MA_0002,A
ar-MA_0003,A
ar-MA_0004,A
ar-MA_0005,B
ar-MA_0006,B
ar-MA_0007,A
ar-MA_0008,A
ar-MA_0009,A
ar-MA_0010,A
ar-MA_0011,B
ar-MA_0012,B
ar-MA_0013,B
ar-MA_0014,A
ar-MA_0015,A
ar-MA_0016,A
ar-MA_0017,A
ar-MA_0018,A
ar-MA_0019,A
ar-MA_0020,A
ar-MA_0021,A
ar-MA_0022,A
ar-MA_0023,A
ar-MA_0024,A
ar-MA_0025,A
ar-MA_0026,A
ar-MA_0027,A
ar-MA_0028,A
ar-MA_0029,A
ar-MA_0030,B
ar-MA_0031,A
ar-MA_0032,A
ar-MA_0033,A
ar-MA_0034,A
ar-MA_0035,A
ar-MA_0036,A
ar-MA_0037,A
ar-MA_0038,B
ar-MA_0039,A
ar-MA_0040,A
ar-MA_0041,A
ar-MA_0042,A
ar-MA_0043,A
ar-MA_0044,B
ar-MA_0045,A
ar-MA_0046,A
ar-MA_0047,A
ar-MA_0048,A
ar-MA_0049,A
ar-MA_0050,B
ar-MA_0051,B
ar-MA_0052,B
ar-MA_0053,A
ar-MA_0054,D
ar-MA_0055,C
ar-MA_0056,B
ar-MA_0057,B
ar-MA_0058,B
ar-MA_0059,A
ar-MA_0060,A
ar-MA_0061,A
ar-MA_0062,A
ar-MA_0063,A
ar-MA_0064,A
ar-MA_0065,A
ar-MA_0066,A
ar-MA_0067,A
ar-MA_0068,A
ar-MA_0069,B
ar-MA_0070,B
ar-MA_0071,A
ar-MA_0072,A
ar-MA_0073,A
ar-MA_0074,B
ar-MA_0075,B
ar-MA_0076,B
ar-MA_0077,A
ar-MA_0078,A
ar-MA_0079,A
ar-MA_0080,B
ar-MA_0081,B
ar-MA_0082,B
ar-MA_0083,A
ar-MA_0084,A
ar-MA_0085,A
ar-MA_0086,B
ar-MA_0087,B
ar-MA_0088,B
ar-MA_0089,A
ar-MA_0090,A
ar-MA_0091,A
ar-MA_0092,A
ar-MA_0093,A
ar-MA_0094,A
ar-MA_0095,A
ar-MA_0096,A
ar-MA_0097,A
ar-MA_0098,A
ar-MA_0099,D
ar-MA_0100,D
ar-MA_0101,D
ar-MA_0102,D
ar-MA_0103,A
ar-MA_0104,A
ar-MA_0105,A
ar-MA_0106,A
ar-MA_0107,A
ar-MA_0108,A
ar-MA_0109,D
ar-MA_0110,D
ar-MA_0111,D
ar-MA_0112,D
ar-MA_0113,D
ar-MA_0114,D
ar-MA_0115,A
ar-MA_0116,A
ar-MA_0117,A
ar-MA_0118,A
ar-MA_0119,A
ar-MA_0120,A
ar-MA_0121,D
ar-MA_0122,A
ar-MA_0123,A
ar-MA_0124,A
ar-MA_0125,A
ar-MA_0126,D
ar-MA_0127,C
ar-MA_0128,D
ar-MA_0129,D
ar-MA_0130,A
ar-MA_0131,A
ar-MA_0132,D
ar-MA_0133,A
ar-MA_0134,C
ar-MA_0135,A
ar-MA_0136,A
ar-MA_0137,B
ar-MA_0138,A
ar-MA_0139,A
ar-MA_0140,B
ar-MA_0141,B
ar-MA_0142,A
ar-MA_0143,A
ar-MA_0144,B
ar-MA_0145,A
ar-MA_0146,A
ar-MA_0147,A
ar-MA_0148,B
ar-MA_0149,B
ar-MA_0150,A
ar-MA_0151,A
ar-MA_0152,A
ar-MA_0153,A
ar-MA_0154,A
ar-MA_0155,A
ar-MA_0156,A
ar-MA_0157,A
ar-MA_0158,C
ar-MA_0159,A
ar-MA_0160,A
ar-MA_0161,B
ar-MA_0162,A
ar-MA_0163,A
ar-MA_0164,A
ar-MA_0165,A
ar-MA_0166,A
ar-MA_0167,A
ar-MA_0168,B
ar-MA_0169,A
ar-MA_0170,A
ar-MA_0171,A
ar-MA_0172,A
ar-MA_0173,B
ar-MA_0174,C
ar-MA_0175,C
ar-MA_0176,A
ar-MA_0177,A
ar-MA_0178,A
ar-MA_0179,D
ar-MA_0180,D
ar-MA_0181,D
ar-MA_0182,B
ar-MA_0183,B
ar-MA_0184,A
ar-MA_0185,C
ar-MA_0186,B
ar-MA_0187,B
ar-MA_0188,C
ar-MA_0189,B
ar-MA_0190,B
ar-MA_0191,C
ar-MA_0192,A
ar-MA_0193,B
ar-MA_0194,A
ar-MA_0195,C
ar-MA_0196,C
ar-MA_0197,B
ar-MA_0198,C
ar-MA_0199,B
ar-MA_0200,B
ar-MA_0201,B
ar-MA_0202,B
ar-MA_0203,B
ar-MA_0204,B
ar-MA_0205,B
ar-MA_0206,B
ar-MA_0207,B
ar-MA_0208,B
ar-MA_0209,A
ar-MA_0210,A
ar-MA_0211,A
ar-MA_0212,A
ar-MA_0213,A
ar-MA_0214,A
ar-MA_0215,A
ar-MA_0216,A
ar-MA_0217,A
ar-MA_0218,A
ar-MA_0219,B
ar-MA_0220,B
ar-MA_0221,B
ar-MA_0222,B
ar-MA_0223,B
ar-MA_0224,B
ar-MA_0225,A
ar-MA_0226,A
ar-MA_0227,A
ar-MA_0228,A
ar-MA_0229,A
ar-MA_0230,B
ar-MA_0231,A
ar-MA_0232,A
ar-MA_0233,A
ar-MA_0234,A
ar-MA_0235,B
ar-MA_0236,B
ar-MA_0237,A
ar-MA_0238,A
ar-MA_0239,A
ar-MA_0240,C
ar-MA_0241,C
ar-MA_0242,C
ar-MA_0243,B
ar-MA_0244,B
ar-MA_0245,C
ar-MA_0246,C
ar-MA_0247,B
ar-MA_0248,B
ar-MA_0249,C
ar-MA_0250,B
ar-MA_0251,B
ar-MA_0252,B
ar-MA_0253,B
ar-MA_0254,A
ar-MA_0255,A
ar-MA_0256,B
ar-MA_0257,A
ar-MA_0258,C
ar-MA_0259,A
ar-MA_0260,A
ar-MA_0261,A
ar-MA_0262,A
ar-MA_0263,A
ar-MA_0264,C
ar-MA_0265,A
ar-MA_0266,A
ar-MA_0267,A
ar-MA_0268,B
ar-MA_0269,A
ar-MA_0270,D
ar-MA_0271,A
ar-MA_0272,C
ar-MA_0273,D
ar-MA_0274,A
ar-MA_0275,B
ar-MA_0276,A
ar-MA_0277,B
ar-MA_0278,B
ar-MA_0279,B
ar-MA_0280,B
ar-MA_0281,A
ar-MA_0282,A
ar-MA_0283,B
ar-MA_0284,A
ar-MA_0285,B
ar-MA_0286,A
ar-MA_0287,B
ar-MA_0288,A
ar-MA_0289,A
ar-MA_0290,A
ar-MA_0291,B
ar-MA_0292,A
ar-MA_0293,B
ar-MA_0294,A
ar-MA_0295,B
ar-MA_0296,A
ar-MA_0297,A
ar-MA_0298,A
ar-MA_0299,A
ar-MA_0300,A
ar-MA_0301,A
ar-MA_0302,A
ar-MA_0303,A
ar-MA_0304,A
ar-MA_0305,A
ar-MA_0306,A
ar-MA_0307,A
ar-MA_0308,A
ar-MA_0309,A
ar-MA_0310,A
ar-MA_0311,A
ar-MA_0312,A
ar-MA_0313,A
ar-MA_0314,A
ar-MA_0315,A
ar-MA_0316,A
ar-MA_0317,A
ar-MA_0318,A
ar-MA_0319,A
ar-MA_0320,A
ar-MA_0321,A
ar-MA_0322,A
ar-MA_0323,A
ar-MA_0324,A
ar-MA_0325,A
ar-MA_0326,A
ar-MA_0327,A
ar-MA_0328,A
ar-MA_0329,A
ar-MA_0330,A
ar-MA_0331,A
ar-MA_0332,B
ar-MA_0333,C
ar-MA_0334,B
ar-MA_0335,A
ar-MA_0336,A
ar-MA_0337,A
ar-MA_0338,C
ar-MA_0339,A
ar-MA_0340,B
ar-MA_0341,B
ar-MA_0342,A
ar-MA_0343,B
ar-MA_0344,A
ar-MA_0345,B
ar-MA_0346,B
ar-MA_0347,B
ar-MA_0348,B
ar-MA_0349,B
ar-MA_0350,A
ar-MA_0351,A
ar-MA_0352,A
ar-MA_0353,A
ar-MA_0354,A
ar-MA_0355,A
ar-MA_0356,A
ar-MA_0357,A
ar-MA_0358,A
ar-MA_0359,A
ar-MA_0360,B
ar-MA_0361,B
ar-MA_0362,B
ar-MA_0363,B
ar-MA_0364,B
ar-MA_0365,B
ar-MA_0366,B
ar-MA_0367,B
ar-MA_0368,B
ar-MA_0369,B
ar-MA_0370,A
ar-MA_0371,A
ar-MA_0372,A
ar-MA_0373,A
ar-MA_0374,A
ar-MA_0375,A
ar-MA_0376,A
ar-MA_0377,A
ar-MA_0378,A
ar-MA_0379,A
ar-MA_0380,D
ar-MA_0381,A
ar-MA_0382,A
ar-MA_0383,A
ar-MA_0384,B
ar-MA_0385,A
ar-MA_0386,A
ar-MA_0387,A
ar-MA_0388,A
ar-MA_0389,A
ar-MA_0390,A
ar-MA_0391,B
ar-MA_0392,B
ar-MA_0393,C
ar-MA_0394,D
ar-MA_0395,C
ar-MA_0396,C
ar-MA_0397,B
ar-MA_0398,A
ar-MA_0399,A
ar-MA_0400,B
ar-MA_0401,B
ar-MA_0402,B
ar-MA_0403,A
ar-MA_0404,A
ar-MA_0405,A
ar-MA_0406,A
ar-MA_0407,A
ar-MA_0408,A
ar-MA_0409,A
ar-MA_0410,A
ar-MA_0411,B
ar-MA_0412,B
ar-MA_0413,D
ar-MA_0414,A
ar-MA_0415,A
